Wind harvester,K-Eco Blast 400,1,KEBL400,400,23.5,$455.00,$880.00,Economy,Domestic,In stock,680
Wind harvester,"K-Eco Blast 400x (same power smaller footprint)",1,KEBL400,400,16,$650.00,$1000.25,Deluxe,Domestic,In stock,248
Wind harvester,K-Eco Blast 600,1,KEBL600,600,33.4,$585.00,$1025.00,Economy,Domestic|Corporate,In stock,323
Wind harvester,K-Eco Blast 800,1,KEBL800,800,42,$685.00,$1280.00,Economy,Corporate,In stock,280
Wind harvester,K-Eco Blast 1200,1,KEBL1200,1.200,87.5,$1050.00,$2300.00,Economy,Corporate,In stock,190
Lightbulbs,K-Eco Energy Bulbs 9W ,1,KE9W,9,n/a,$0.55,$2.00,Economy,Domestic|Corporate|Personal,In stock,23056
Lightbulbs,K-Eco Energy Bulbs 9W (4-pack),4,KE9W04,9,n/a,$2.20,$6.20,Economy,Domestic|Corporate|Personal,In stock,19056
Lightbulbs,K-Eco Energy Bulbs 9W  (8-pack),8,KE9W08,9,n/a,$4.40,$9.50,Economy,Domestic|Corporate|Personal,In stock,12346
Lightbulbs,K-Eco Energy Bulbs 13W ,1,KE13W,13,n/a,$0.75,$2.24,Economy,Domestic|Corporate|Personal,In stock,32478
Lightbulbs,K-Eco Energy Bulbs 13W (4-pack),4,KE13W04,13,n/a,$3.00,$6.55,Economy,Domestic|Corporate|Personal,In stock,17344
Lightbulbs,K-Eco Energy Bulbs 13W  (8-pack),8,KE13W08,13,n/a,$6.00,$11.25,Economy,Domestic|Corporate|Personal,In stock,9237
Lightbulbs,K-Eco Energy Bulbs 20W ,1,KE20W,20,n/a,$1.20,$2.65,Economy,Domestic|Corporate|Personal,In stock,15998
Lightbulbs,K-Eco Energy Bulbs 20W (4-pack),4,KE20W04,20,n/a,$4.90,$7.45,Economy,Domestic|Corporate|Personal,In stock,13444
Lightbulbs,K-Eco Energy Bulbs 20W  (8-pack),8,KE20W08,20,n/a,$9.80,$12.40,Economy,Domestic|Corporate|Personal,In stock,14998
Lightbulbs,K-Eco Energy Bulbs 23W ,1,KE23W,23,n/a,$1.45,$3.80,Economy,Domestic|Corporate|Personal,In stock,12111
Lightbulbs,K-Eco Energy Bulbs 23W (4-pack),4,KE23W04,23,n/a,$5.80,$12.00,Economy,Domestic|Corporate|Personal,In stock,6599
Lightbulbs,K-Eco Energy Bulbs 23W  (8-pack),8,KE23W08,23,n/a,$11.60,$17.50,Economy,Domestic|Corporate|Personal,In stock,8990
Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,1,KEPATH01,N/A,n/a,$1.22,$5.25,Economy,Domestic,In stock,4688
Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),4,KEPATH04,N/A,n/a,$4.88,$19.03,Economy,Domestic,On back order,0
Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),8,KEPATH08,N/A,n/a,$9.76,$33.18,Economy,Domestic,In stock,3244
Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),12,KEPATH12,N/A,n/a,$14.64,$43.92,Economy,Domestic,In stock,2855
